Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
|55        |11        |)         |
|55        |12        |;         |
|58        |1         |r         |
|58        |2         |l         |
|58        |3         |;         |
|59        |1         |}         |
+--------------------------------+
Таблица идентификаторов
+------------------------------------------------------------------------------------------------------------------------+
|Тип       |Имя            |Тип значения   |Область видимости   |Своя область видимости |Строка    |Позиция   |Кол-во пар|
+------------------------------------------------------------------------------------------------------------------------+
|literal   |Literal_8      |uint           |none                |none                   |32        |10        |0         |
|fn        |Print          |int            |g0                  |none                   |-1        |-1        |1         |
|literal   |Literal_10     |int            |none                |none                   |39        |11        |0         |
|fn        |Println        |int            |g0                  |none                   |-1        |-1        |1         |
|var       |qwe            |uint           |g0_m131             |none                   |55        |2         |0         |
|fn        |IToString      |string         |g0                  |none                   |-1        |-1        |1         |
|fn        |CharToString   |string         |g0                  |none                   |-1        |-1        |1         |
|literal   |Literal_12     |int            |none                |none                   |39        |19        |0         |
|fn        |FToString      |string         |g0                  |none                   |-1        |-1        |1         |
|literal   |Literal_20     |int            |none                |none                   |48        |11        |0         |
|literal   |Literal_14     |uint           |none                |none                   |44        |11        |0         |
|fn        |BoolToString   |string         |g0                  |none                   |-1        |-1        |1         |
|literal   |Literal_18     |int            |none                |none                   |47        |11        |0         |
|literal   |Literal_16     |int            |none                |none                   |45        |11        |0         |
|param     |b              |string         |g0_c61              |none                   |18        |9         |0         |
|fn        |characterString|bool           |g0                  |g0_c61                 |18        |3         |2         |
|literal   |Literal_3      |bool           |none                |none                   |16        |2         |0         |
|fn        |UIToString     |string         |g0                  |none                   |-1        |-1        |1         |
|literal   |Literal_0      |double         |none                |none                   |1         |3         |0         |
|fn        |Concat         |string         |g0                  |none                   |-1        |-1        |2         |
|fn        |sum            |uint           |g0                  |g0_s91                 |27        |3         |2         |
|var       |PI             |double         |g0                  |none                   |1         |2         |0         |
|fn        |shiftR         |int            |g0                  |g0_s11                 |3         |3         |2         |
|literal   |Literal_23     |uint           |none                |none                   |55        |9         |0         |
|var       |i              |int            |g0_m131             |none                   |44        |2         |0         |
|param     |a              |int            |g0_s11              |none                   |3         |6         |0         |
|param     |b              |uint           |g0_s91              |none                   |27        |9         |0         |
|param     |b              |int            |g0_s11              |none                   |3         |9         |0         |
|fn        |shiftL         |int            |g0                  |g0_s21                 |6         |3         |2         |
|param     |a              |int            |g0_s21              |none                   |6         |6         |0         |
|var       |result         |uint           |g0_a101             |none                   |32        |2         |0         |
|param     |a              |char           |g0_c31              |none                   |9         |6         |0         |
|param     |b              |int            |g0_s21              |none                   |6         |9         |0         |
|fn        |arithmetic     |uint           |g0                  |g0_a101                |30        |3         |2         |
|fn        |characterChar  |bool           |g0                  |g0_c31                 |9         |3         |2         |
|fn        |main           |int            |g0                  |g0_m131                |41        |3         |0         |
|param     |b              |char           |g0_c31              |none                   |9         |9         |0         |
|literal   |Literal_1      |bool           |none                |none                   |11        |2         |0         |
|literal   |Literal_2      |bool           |none                |none                   |14        |2         |0         |
|param     |i              |int            |g0_a121             |none                   |38        |6         |0         |
|param     |a              |string         |g0_c61              |none                   |18        |6         |0         |
|literal   |Literal_4      |bool           |none                |none                   |20        |2         |0         |
|param     |b              |int            |g0_a121             |none                   |38        |9         |0         |
|literal   |Literal_5      |bool           |none                |none                   |23        |2         |0         |
|literal   |Literal_6      |bool           |none                |none                   |25        |2         |0         |
|param     |a              |uint           |g0_s91              |none                   |27        |6         |0         |
|param     |a              |uint           |g0_a101             |none                   |30        |6         |0         |
|param     |b              |uint           |g0_a101             |none                   |30        |9         |0         |
|literal   |Literal_13     |uint           |none                |none                   |44        |9         |0         |
|var       |del            |uint           |g0_a101             |none                   |31        |2         |0         |
|literal   |Literal_7      |uint           |none                |none                   |31        |3         |0         |
|literal   |Literal_24     |int            |none                |none                   |58        |2         |0         |
|literal   |Literal_9      |uint           |none                |none                   |32        |12        |0         |
|fn        |sumInt         |int            |g0                  |g0_s111                |35        |3         |2         |
|param     |a              |int            |g0_s111             |none                   |35        |6         |0         |
|param     |b              |int            |g0_s111             |none                   |35        |9         |0         |
|literal   |Literal_21     |string         |none                |none                   |55        |5         |0         |
|fn        |arithmeticsInt |int            |g0                  |g0_a121                |38        |3         |2         |
|literal   |Literal_17     |int            |none                |none                   |47        |9         |0         |
|literal   |Literal_11     |int            |none                |none                   |39        |13        |0         |
|literal   |Literal_15     |int            |none                |none                   |45        |9         |0         |
|literal   |Literal_19     |int            |none                |none                   |48        |9         |0         |
|literal   |Literal_22     |uint           |none                |none                   |55        |7         |0         |
+------------------------------------------------------------------------------------------------------------------------+
Шаг :Правило             Входная лента                 Стек                
0   :S->tiQ;G            ti=l;fti(ti,ti){rioi;}fti     S$                  
1   : SAVESTATE:          1
1   :                    ti=l;fti(ti,ti){rioi;}fti     tiQ;G$              
2   :                    i=l;fti(ti,ti){rioi;}fti(     iQ;G$               
3   :                    =l;fti(ti,ti){rioi;}fti(t     Q;G$                
4   :Q->=l               =l;fti(ti,ti){rioi;}fti(t     Q;G$                
5   : SAVESTATE:          2
5   :                    =l;fti(ti,ti){rioi;}fti(t     =l;G$               
6   :                    l;fti(ti,ti){rioi;}fti(ti     l;G$                
7   :                    ;fti(ti,ti){rioi;}fti(ti,     ;G$                 
8   :                    fti(ti,ti){rioi;}fti(ti,t     G$                  
9   : TNS_NORULECHAIN/NS_NORULE
9   : RESSTATE            
9   :                    =l;fti(ti,ti){rioi;}fti(t     Q;G$                
10  :Q->=X               =l;fti(ti,ti){rioi;}fti(t     Q;G$                
11  : SAVESTATE:          2
11  :                    =l;fti(ti,ti){rioi;}fti(t     =X;G$               
12  :                    l;fti(ti,ti){rioi;}fti(ti     X;G$                
13  :X->lD               l;fti(ti,ti){rioi;}fti(ti     X;G$                
14  : SAVESTATE:          3
14  :                    l;fti(ti,ti){rioi;}fti(ti     lD;G$               
15  :                    ;fti(ti,ti){rioi;}fti(ti,     D;G$                
16  : TNS_NORULECHAIN/NS_NORULE
16  : RESSTATE            
16  :                    l;fti(ti,ti){rioi;}fti(ti     X;G$                
17  : TNS_NORULECHAIN/NS_NORULE
17  : RESSTATE            
17  :                    =l;fti(ti,ti){rioi;}fti(t     Q;G$                
18  : TNS_NORULECHAIN/NS_NORULE
18  : RESSTATE            
18  :                    ti=l;fti(ti,ti){rioi;}fti     S$                  
19  :S->tiQ;F            ti=l;fti(ti,ti){rioi;}fti     S$                  
20  : SAVESTATE:          1
20  :                    ti=l;fti(ti,ti){rioi;}fti     tiQ;F$              
21  :                    i=l;fti(ti,ti){rioi;}fti(     iQ;F$               
22  :                    =l;fti(ti,ti){rioi;}fti(t     Q;F$                
23  :Q->=l               =l;fti(ti,ti){rioi;}fti(t     Q;F$                
24  : SAVESTATE:          2
24  :                    =l;fti(ti,ti){rioi;}fti(t     =l;F$               
25  :                    l;fti(ti,ti){rioi;}fti(ti     l;F$                
26  :                    ;fti(ti,ti){rioi;}fti(ti,     ;F$                 
27  :                    fti(ti,ti){rioi;}fti(ti,t     F$                  
28  :F->fti(P)W          fti(ti,ti){rioi;}fti(ti,t     F$                  
29  : SAVESTATE:          3
29  :                    fti(ti,ti){rioi;}fti(ti,t     fti(P)W$            
30  :                    ti(ti,ti){rioi;}fti(ti,ti     ti(P)W$             
31  :                    i(ti,ti){rioi;}fti(ti,ti)     i(P)W$              
32  :                    (ti,ti){rioi;}fti(ti,ti){     (P)W$               
33  :                    ti,ti){rioi;}fti(ti,ti){r     P)W$                
34  :P->ti,P             ti,ti){rioi;}fti(ti,ti){r     P)W$                
35  : SAVESTATE:          4
35  :                    ti,ti){rioi;}fti(ti,ti){r     ti,P)W$             
36  :                    i,ti){rioi;}fti(ti,ti){ri     i,P)W$              
37  :                    ,ti){rioi;}fti(ti,ti){rio     ,P)W$               
38  :                    ti){rioi;}fti(ti,ti){rioi     P)W$                
39  :P->ti,P             ti){rioi;}fti(ti,ti){rioi     P)W$                
40  : SAVESTATE:          5
40  :                    ti){rioi;}fti(ti,ti){rioi     ti,P)W$             
41  :                    i){rioi;}fti(ti,ti){rioi;     i,P)W$              
42  :                    ){rioi;}fti(ti,ti){rioi;}     ,P)W$               
43  : TS_NOK/NS_NORULECHAIN
43  : RESSTATE            
43  :                    ti){rioi;}fti(ti,ti){rioi     P)W$                
44  :P->ti               ti){rioi;}fti(ti,ti){rioi     P)W$                
45  : SAVESTATE:          5
45  :                    ti){rioi;}fti(ti,ti){rioi     ti)W$               
