Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
631 : TNS_NORULECHAIN/NS_NORULE
631 : RESSTATE            
631 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
632 :T->oR               oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
633 : SAVESTATE:          71
633 :                    oi(l,l)oi)oi;ri;}fti(ti,t     oR)JrR;Z$           
634 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
635 :R->i                i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
636 : SAVESTATE:          72
636 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i)JrR;Z$            
637 :                    (l,l)oi)oi;ri;}fti(ti,ti)     )JrR;Z$             
638 : TS_NOK/NS_NORULECHAIN
638 : RESSTATE            
638 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
639 :R->i(A)             i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
640 : SAVESTATE:          72
640 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i(A))JrR;Z$         
641 :                    (l,l)oi)oi;ri;}fti(ti,ti)     (A))JrR;Z$          
642 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
643 :A->l                l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
644 : SAVESTATE:          73
644 :                    l,l)oi)oi;ri;}fti(ti,ti){     l))JrR;Z$           
645 :                    ,l)oi)oi;ri;}fti(ti,ti){r     ))JrR;Z$            
646 : TS_NOK/NS_NORULECHAIN
646 : RESSTATE            
646 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
647 :A->lT               l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
648 : SAVESTATE:          73
648 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT))JrR;Z$          
649 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T))JrR;Z$           
650 : TNS_NORULECHAIN/NS_NORULE
650 : RESSTATE            
650 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
651 :A->l,A              l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
652 : SAVESTATE:          73
652 :                    l,l)oi)oi;ri;}fti(ti,ti){     l,A))JrR;Z$         
653 :                    ,l)oi)oi;ri;}fti(ti,ti){r     ,A))JrR;Z$          
654 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
655 :A->l                l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
656 : SAVESTATE:          74
656 :                    l)oi)oi;ri;}fti(ti,ti){ri     l))JrR;Z$           
657 :                    )oi)oi;ri;}fti(ti,ti){rio     ))JrR;Z$            
658 :                    oi)oi;ri;}fti(ti,ti){rioi     )JrR;Z$             
659 : TS_NOK/NS_NORULECHAIN
659 : RESSTATE            
659 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
660 :A->lT               l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
661 : SAVESTATE:          74
661 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT))JrR;Z$          
662 :                    )oi)oi;ri;}fti(ti,ti){rio     T))JrR;Z$           
663 : TNS_NORULECHAIN/NS_NORULE
663 : RESSTATE            
663 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
664 :A->l,A              l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
665 : SAVESTATE:          74
665 :                    l)oi)oi;ri;}fti(ti,ti){ri     l,A))JrR;Z$         
666 :                    )oi)oi;ri;}fti(ti,ti){rio     ,A))JrR;Z$          
667 : TS_NOK/NS_NORULECHAIN
667 : RESSTATE            
667 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
668 :A->lT,A             l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
669 : SAVESTATE:          74
669 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT,A))JrR;Z$        
670 :                    )oi)oi;ri;}fti(ti,ti){rio     T,A))JrR;Z$         
671 : TNS_NORULECHAIN/NS_NORULE
671 : RESSTATE            
671 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
672 : TNS_NORULECHAIN/NS_NORULE
672 : RESSTATE            
672 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
673 :A->lT,A             l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
674 : SAVESTATE:          73
674 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT,A))JrR;Z$        
675 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T,A))JrR;Z$         
676 : TNS_NORULECHAIN/NS_NORULE
676 : RESSTATE            
676 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
677 : TNS_NORULECHAIN/NS_NORULE
677 : RESSTATE            
677 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
678 : TNS_NORULECHAIN/NS_NORULE
678 : RESSTATE            
678 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
679 : TNS_NORULECHAIN/NS_NORULE
679 : RESSTATE            
679 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
680 :R->i(A)             ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
681 : SAVESTATE:          70
681 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i(A)T)JrR;Z$        
682 :                    oi(l,l)oi)oi;ri;}fti(ti,t     (A)T)JrR;Z$         
683 : TS_NOK/NS_NORULECHAIN
683 : RESSTATE            
683 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
684 : TNS_NORULECHAIN/NS_NORULE
684 : RESSTATE            
684 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
685 :T->oR               oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
686 : SAVESTATE:          69
686 :                    oioi(l,l)oi)oi;ri;}fti(ti     oR)JrR;Z$           
687 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
688 :R->i                ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
689 : SAVESTATE:          70
689 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i)JrR;Z$            
690 :                    oi(l,l)oi)oi;ri;}fti(ti,t     )JrR;Z$             
691 : TS_NOK/NS_NORULECHAIN
691 : RESSTATE            
691 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
692 :R->i(A)             ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
693 : SAVESTATE:          70
693 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i(A))JrR;Z$         
694 :                    oi(l,l)oi)oi;ri;}fti(ti,t     (A))JrR;Z$          
695 : TS_NOK/NS_NORULECHAIN
695 : RESSTATE            
695 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
696 : TNS_NORULECHAIN/NS_NORULE
696 : RESSTATE            
696 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
697 : TNS_NORULECHAIN/NS_NORULE
697 : RESSTATE            
697 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
698 :V->i(A)T            ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
699 : SAVESTATE:          68
699 :                    ioioi(l,l)oi)oi;ri;}fti(t     i(A)T)JrR;Z$        
700 :                    oioi(l,l)oi)oi;ri;}fti(ti     (A)T)JrR;Z$         
701 : TS_NOK/NS_NORULECHAIN
701 : RESSTATE            
701 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
702 : TNS_NORULECHAIN/NS_NORULE
702 : RESSTATE            
702 :                    (ioioi(l,l)oi)oi;ri;}fti(     RJrR;Z$             
703 : TNS_NORULECHAIN/NS_NORULE
703 : RESSTATE            
703 :                    =(ioioi(l,l)oi)oi;ri;}fti     LJrR;Z$             
704 :L->=V               =(ioioi(l,l)oi)oi;ri;}fti     LJrR;Z$             
705 : SAVESTATE:          66
705 :                    =(ioioi(l,l)oi)oi;ri;}fti     =VJrR;Z$            
706 :                    (ioioi(l,l)oi)oi;ri;}fti(     VJrR;Z$             
707 :V->(V)              (ioioi(l,l)oi)oi;ri;}fti(     VJrR;Z$             
708 : SAVESTATE:          67
708 :                    (ioioi(l,l)oi)oi;ri;}fti(     (V)JrR;Z$           
709 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
710 :V->iT               ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
711 : SAVESTATE:          68
711 :                    ioioi(l,l)oi)oi;ri;}fti(t     iT)JrR;Z$           
712 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
713 :T->oRT              oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
714 : SAVESTATE:          69
714 :                    oioi(l,l)oi)oi;ri;}fti(ti     oRT)JrR;Z$          
715 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
716 :R->i                ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
717 : SAVESTATE:          70
717 :                    ioi(l,l)oi)oi;ri;}fti(ti,     iT)JrR;Z$           
718 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
719 :T->oRT              oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
720 : SAVESTATE:          71
720 :                    oi(l,l)oi)oi;ri;}fti(ti,t     oRT)JrR;Z$          
721 :                    i(l,l)oi)oi;ri;}fti(ti,ti     RT)JrR;Z$           
722 :R->i                i(l,l)oi)oi;ri;}fti(ti,ti     RT)JrR;Z$           
723 : SAVESTATE:          72
723 :                    i(l,l)oi)oi;ri;}fti(ti,ti     iT)JrR;Z$           
724 :                    (l,l)oi)oi;ri;}fti(ti,ti)     T)JrR;Z$            
725 : TNS_NORULECHAIN/NS_NORULE
725 : RESSTATE            
725 :                    i(l,l)oi)oi;ri;}fti(ti,ti     RT)JrR;Z$           
726 :R->i(A)             i(l,l)oi)oi;ri;}fti(ti,ti     RT)JrR;Z$           
727 : SAVESTATE:          72
727 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i(A)T)JrR;Z$        
728 :                    (l,l)oi)oi;ri;}fti(ti,ti)     (A)T)JrR;Z$         
729 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
730 :A->l                l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
731 : SAVESTATE:          73
731 :                    l,l)oi)oi;ri;}fti(ti,ti){     l)T)JrR;Z$          
732 :                    ,l)oi)oi;ri;}fti(ti,ti){r     )T)JrR;Z$           
733 : TS_NOK/NS_NORULECHAIN
733 : RESSTATE            
733 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
734 :A->lT               l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
735 : SAVESTATE:          73
735 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT)T)JrR;Z$         
736 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T)T)JrR;Z$          
737 : TNS_NORULECHAIN/NS_NORULE
737 : RESSTATE            
737 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
738 :A->l,A              l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
739 : SAVESTATE:          73
739 :                    l,l)oi)oi;ri;}fti(ti,ti){     l,A)T)JrR;Z$        
740 :                    ,l)oi)oi;ri;}fti(ti,ti){r     ,A)T)JrR;Z$         
741 :                    l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
742 :A->l                l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
743 : SAVESTATE:          74
743 :                    l)oi)oi;ri;}fti(ti,ti){ri     l)T)JrR;Z$          
744 :                    )oi)oi;ri;}fti(ti,ti){rio     )T)JrR;Z$           
745 :                    oi)oi;ri;}fti(ti,ti){rioi     T)JrR;Z$            
746 :T->oRT              oi)oi;ri;}fti(ti,ti){rioi     T)JrR;Z$            
747 : SAVESTATE:          75
747 :                    oi)oi;ri;}fti(ti,ti){rioi     oRT)JrR;Z$          
748 :                    i)oi;ri;}fti(ti,ti){rioi;     RT)JrR;Z$           
749 :R->i                i)oi;ri;}fti(ti,ti){rioi;     RT)JrR;Z$           
750 : SAVESTATE:          76
750 :                    i)oi;ri;}fti(ti,ti){rioi;     iT)JrR;Z$           
751 :                    )oi;ri;}fti(ti,ti){rioi;}     T)JrR;Z$            
752 : TNS_NORULECHAIN/NS_NORULE
752 : RESSTATE            
752 :                    i)oi;ri;}fti(ti,ti){rioi;     RT)JrR;Z$           
753 :R->i(A)             i)oi;ri;}fti(ti,ti){rioi;     RT)JrR;Z$           
754 : SAVESTATE:          76
754 :                    i)oi;ri;}fti(ti,ti){rioi;     i(A)T)JrR;Z$        
755 :                    )oi;ri;}fti(ti,ti){rioi;}     (A)T)JrR;Z$         
756 : TS_NOK/NS_NORULECHAIN
756 : RESSTATE            
756 :                    i)oi;ri;}fti(ti,ti){rioi;     RT)JrR;Z$           
757 : TNS_NORULECHAIN/NS_NORULE
757 : RESSTATE            
757 :                    oi)oi;ri;}fti(ti,ti){rioi     T)JrR;Z$            
758 :T->oR               oi)oi;ri;}fti(ti,ti){rioi     T)JrR;Z$            
759 : SAVESTATE:          75
759 :                    oi)oi;ri;}fti(ti,ti){rioi     oR)JrR;Z$           
760 :                    i)oi;ri;}fti(ti,ti){rioi;     R)JrR;Z$            
761 :R->i                i)oi;ri;}fti(ti,ti){rioi;     R)JrR;Z$            
762 : SAVESTATE:          76
762 :                    i)oi;ri;}fti(ti,ti){rioi;     i)JrR;Z$            
763 :                    )oi;ri;}fti(ti,ti){rioi;}     )JrR;Z$             
764 :                    oi;ri;}fti(ti,ti){rioi;}f     JrR;Z$              
765 : TNS_NORULECHAIN/NS_NORULE
765 : RESSTATE            
765 :                    i)oi;ri;}fti(ti,ti){rioi;     R)JrR;Z$            
766 :R->i(A)             i)oi;ri;}fti(ti,ti){rioi;     R)JrR;Z$            
767 : SAVESTATE:          76
767 :                    i)oi;ri;}fti(ti,ti){rioi;     i(A))JrR;Z$         
768 :                    )oi;ri;}fti(ti,ti){rioi;}     (A))JrR;Z$          
769 : TS_NOK/NS_NORULECHAIN
769 : RESSTATE            
769 :                    i)oi;ri;}fti(ti,ti){rioi;     R)JrR;Z$            
770 : TNS_NORULECHAIN/NS_NORULE
770 : RESSTATE            
770 :                    oi)oi;ri;}fti(ti,ti){rioi     T)JrR;Z$            
771 : TNS_NORULECHAIN/NS_NORULE
771 : RESSTATE            
771 :                    l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
772 :A->lT               l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
773 : SAVESTATE:          74
773 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT)T)JrR;Z$         
774 :                    )oi)oi;ri;}fti(ti,ti){rio     T)T)JrR;Z$          
775 : TNS_NORULECHAIN/NS_NORULE
775 : RESSTATE            
775 :                    l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
776 :A->l,A              l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
777 : SAVESTATE:          74
777 :                    l)oi)oi;ri;}fti(ti,ti){ri     l,A)T)JrR;Z$        
778 :                    )oi)oi;ri;}fti(ti,ti){rio     ,A)T)JrR;Z$         
779 : TS_NOK/NS_NORULECHAIN
779 : RESSTATE            
779 :                    l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
780 :A->lT,A             l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
781 : SAVESTATE:          74
781 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT,A)T)JrR;Z$       
782 :                    )oi)oi;ri;}fti(ti,ti){rio     T,A)T)JrR;Z$        
783 : TNS_NORULECHAIN/NS_NORULE
783 : RESSTATE            
783 :                    l)oi)oi;ri;}fti(ti,ti){ri     A)T)JrR;Z$          
784 : TNS_NORULECHAIN/NS_NORULE
784 : RESSTATE            
784 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
785 :A->lT,A             l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
786 : SAVESTATE:          73
786 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT,A)T)JrR;Z$       
787 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T,A)T)JrR;Z$        
788 : TNS_NORULECHAIN/NS_NORULE
788 : RESSTATE            
788 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)JrR;Z$          
789 : TNS_NORULECHAIN/NS_NORULE
789 : RESSTATE            
789 :                    i(l,l)oi)oi;ri;}fti(ti,ti     RT)JrR;Z$           
790 : TNS_NORULECHAIN/NS_NORULE
790 : RESSTATE            
790 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
791 :T->oR               oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
792 : SAVESTATE:          71
792 :                    oi(l,l)oi)oi;ri;}fti(ti,t     oR)JrR;Z$           
793 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
794 :R->i                i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
795 : SAVESTATE:          72
795 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i)JrR;Z$            
796 :                    (l,l)oi)oi;ri;}fti(ti,ti)     )JrR;Z$             
797 : TS_NOK/NS_NORULECHAIN
797 : RESSTATE            
797 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
798 :R->i(A)             i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
799 : SAVESTATE:          72
799 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i(A))JrR;Z$         
800 :                    (l,l)oi)oi;ri;}fti(ti,ti)     (A))JrR;Z$          
801 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
802 :A->l                l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
803 : SAVESTATE:          73
803 :                    l,l)oi)oi;ri;}fti(ti,ti){     l))JrR;Z$           
804 :                    ,l)oi)oi;ri;}fti(ti,ti){r     ))JrR;Z$            
805 : TS_NOK/NS_NORULECHAIN
805 : RESSTATE            
805 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
806 :A->lT               l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
807 : SAVESTATE:          73
807 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT))JrR;Z$          
808 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T))JrR;Z$           
809 : TNS_NORULECHAIN/NS_NORULE
809 : RESSTATE            
809 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
810 :A->l,A              l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
811 : SAVESTATE:          73
811 :                    l,l)oi)oi;ri;}fti(ti,ti){     l,A))JrR;Z$         
812 :                    ,l)oi)oi;ri;}fti(ti,ti){r     ,A))JrR;Z$          
813 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
814 :A->l                l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
815 : SAVESTATE:          74
815 :                    l)oi)oi;ri;}fti(ti,ti){ri     l))JrR;Z$           
816 :                    )oi)oi;ri;}fti(ti,ti){rio     ))JrR;Z$            
817 :                    oi)oi;ri;}fti(ti,ti){rioi     )JrR;Z$             
818 : TS_NOK/NS_NORULECHAIN
818 : RESSTATE            
818 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
819 :A->lT               l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
820 : SAVESTATE:          74
820 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT))JrR;Z$          
821 :                    )oi)oi;ri;}fti(ti,ti){rio     T))JrR;Z$           
822 : TNS_NORULECHAIN/NS_NORULE
822 : RESSTATE            
822 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
823 :A->l,A              l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
824 : SAVESTATE:          74
824 :                    l)oi)oi;ri;}fti(ti,ti){ri     l,A))JrR;Z$         
825 :                    )oi)oi;ri;}fti(ti,ti){rio     ,A))JrR;Z$          
826 : TS_NOK/NS_NORULECHAIN
826 : RESSTATE            
826 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
827 :A->lT,A             l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
828 : SAVESTATE:          74
828 :                    l)oi)oi;ri;}fti(ti,ti){ri     lT,A))JrR;Z$        
829 :                    )oi)oi;ri;}fti(ti,ti){rio     T,A))JrR;Z$         
830 : TNS_NORULECHAIN/NS_NORULE
830 : RESSTATE            
830 :                    l)oi)oi;ri;}fti(ti,ti){ri     A))JrR;Z$           
831 : TNS_NORULECHAIN/NS_NORULE
831 : RESSTATE            
831 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
832 :A->lT,A             l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
833 : SAVESTATE:          73
833 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT,A))JrR;Z$        
834 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T,A))JrR;Z$         
835 : TNS_NORULECHAIN/NS_NORULE
835 : RESSTATE            
835 :                    l,l)oi)oi;ri;}fti(ti,ti){     A))JrR;Z$           
836 : TNS_NORULECHAIN/NS_NORULE
836 : RESSTATE            
836 :                    i(l,l)oi)oi;ri;}fti(ti,ti     R)JrR;Z$            
837 : TNS_NORULECHAIN/NS_NORULE
837 : RESSTATE            
837 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)JrR;Z$            
838 : TNS_NORULECHAIN/NS_NORULE
838 : RESSTATE            
838 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
839 :R->i(A)             ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
840 : SAVESTATE:          70
840 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i(A)T)JrR;Z$        
841 :                    oi(l,l)oi)oi;ri;}fti(ti,t     (A)T)JrR;Z$         
842 : TS_NOK/NS_NORULECHAIN
842 : RESSTATE            
842 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)JrR;Z$           
843 : TNS_NORULECHAIN/NS_NORULE
843 : RESSTATE            
843 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
844 :T->oR               oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
845 : SAVESTATE:          69
845 :                    oioi(l,l)oi)oi;ri;}fti(ti     oR)JrR;Z$           
846 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
847 :R->i                ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
848 : SAVESTATE:          70
848 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i)JrR;Z$            
849 :                    oi(l,l)oi)oi;ri;}fti(ti,t     )JrR;Z$             
850 : TS_NOK/NS_NORULECHAIN
850 : RESSTATE            
850 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
851 :R->i(A)             ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
852 : SAVESTATE:          70
852 :                    ioi(l,l)oi)oi;ri;}fti(ti,     i(A))JrR;Z$         
853 :                    oi(l,l)oi)oi;ri;}fti(ti,t     (A))JrR;Z$          
854 : TS_NOK/NS_NORULECHAIN
854 : RESSTATE            
854 :                    ioi(l,l)oi)oi;ri;}fti(ti,     R)JrR;Z$            
855 : TNS_NORULECHAIN/NS_NORULE
855 : RESSTATE            
855 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)JrR;Z$            
856 : TNS_NORULECHAIN/NS_NORULE
856 : RESSTATE            
856 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
857 :V->i(A)T            ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
858 : SAVESTATE:          68
858 :                    ioioi(l,l)oi)oi;ri;}fti(t     i(A)T)JrR;Z$        
859 :                    oioi(l,l)oi)oi;ri;}fti(ti     (A)T)JrR;Z$         
860 : TS_NOK/NS_NORULECHAIN
860 : RESSTATE            
860 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)JrR;Z$            
861 : TNS_NORULECHAIN/NS_NORULE
861 : RESSTATE            
861 :                    (ioioi(l,l)oi)oi;ri;}fti(     VJrR;Z$             
862 :V->(V)T             (ioioi(l,l)oi)oi;ri;}fti(     VJrR;Z$             
863 : SAVESTATE:          67
863 :                    (ioioi(l,l)oi)oi;ri;}fti(     (V)TJrR;Z$          
864 :                    ioioi(l,l)oi)oi;ri;}fti(t     V)TJrR;Z$           
865 :V->iT               ioioi(l,l)oi)oi;ri;}fti(t     V)TJrR;Z$           
866 : SAVESTATE:          68
866 :                    ioioi(l,l)oi)oi;ri;}fti(t     iT)TJrR;Z$          
867 :                    oioi(l,l)oi)oi;ri;}fti(ti     T)TJrR;Z$           
868 :T->oRT              oioi(l,l)oi)oi;ri;}fti(ti     T)TJrR;Z$           
869 : SAVESTATE:          69
869 :                    oioi(l,l)oi)oi;ri;}fti(ti     oRT)TJrR;Z$         
870 :                    ioi(l,l)oi)oi;ri;}fti(ti,     RT)TJrR;Z$          
871 :R->i                ioi(l,l)oi)oi;ri;}fti(ti,     RT)TJrR;Z$          
872 : SAVESTATE:          70
872 :                    ioi(l,l)oi)oi;ri;}fti(ti,     iT)TJrR;Z$          
873 :                    oi(l,l)oi)oi;ri;}fti(ti,t     T)TJrR;Z$           
874 :T->oRT              oi(l,l)oi)oi;ri;}fti(ti,t     T)TJrR;Z$           
875 : SAVESTATE:          71
875 :                    oi(l,l)oi)oi;ri;}fti(ti,t     oRT)TJrR;Z$         
876 :                    i(l,l)oi)oi;ri;}fti(ti,ti     RT)TJrR;Z$          
877 :R->i                i(l,l)oi)oi;ri;}fti(ti,ti     RT)TJrR;Z$          
878 : SAVESTATE:          72
878 :                    i(l,l)oi)oi;ri;}fti(ti,ti     iT)TJrR;Z$          
879 :                    (l,l)oi)oi;ri;}fti(ti,ti)     T)TJrR;Z$           
880 : TNS_NORULECHAIN/NS_NORULE
880 : RESSTATE            
880 :                    i(l,l)oi)oi;ri;}fti(ti,ti     RT)TJrR;Z$          
881 :R->i(A)             i(l,l)oi)oi;ri;}fti(ti,ti     RT)TJrR;Z$          
882 : SAVESTATE:          72
882 :                    i(l,l)oi)oi;ri;}fti(ti,ti     i(A)T)TJrR;Z$       
883 :                    (l,l)oi)oi;ri;}fti(ti,ti)     (A)T)TJrR;Z$        
884 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)TJrR;Z$         
885 :A->l                l,l)oi)oi;ri;}fti(ti,ti){     A)T)TJrR;Z$         
886 : SAVESTATE:          73
886 :                    l,l)oi)oi;ri;}fti(ti,ti){     l)T)TJrR;Z$         
887 :                    ,l)oi)oi;ri;}fti(ti,ti){r     )T)TJrR;Z$          
888 : TS_NOK/NS_NORULECHAIN
888 : RESSTATE            
888 :                    l,l)oi)oi;ri;}fti(ti,ti){     A)T)TJrR;Z$         
889 :A->lT               l,l)oi)oi;ri;}fti(ti,ti){     A)T)TJrR;Z$         
890 : SAVESTATE:          73
890 :                    l,l)oi)oi;ri;}fti(ti,ti){     lT)T)TJrR;Z$        
891 :                    ,l)oi)oi;ri;}fti(ti,ti){r     T)T)TJrR;Z$         
